city,pairs,dist.hours.distances,hue.dist
Anaheim,|1 - 3|,2,0.0190330222198899
Anaheim,|1 - 4|,3,0.0316320098088782
Anaheim,|1 - 5|,4,0.0202789100885083
Anaheim,|1 - 6|,5,0.0202488605870966
Anaheim,|1 - 7|,6,0.0338179593204648
Anaheim,|1 - 8|,7,0.0289944612687756
Anaheim,|1 - 9|,8,0.0337460753898626
Anaheim,|10 - 11|,1,0.0075759653446699
Anaheim,|10 - 12|,2,0.00392411329080506
Anaheim,|10 - 13|,3,0.008270596827488
Anaheim,|10 - 14|,4,0.00772003011542609
Anaheim,|10 - 15|,5,0.00546328230139302
Anaheim,|10 - 16|,6,0.00597987838125225
Anaheim,|10 - 17|,7,0.0106013351097061
Anaheim,|10 - 18|,8,0.0129570845008947
Anaheim,|10 - 19|,9,0.0120946674868615
Anaheim,|10 - 20|,10,0.0160871381802264
Anaheim,|10 - 21|,11,0.0193230298144379
Anaheim,|10 - 22|,12,0.0287447482329734
Anaheim,|10 - 23|,11,0.0333886815850983
Anaheim,|11 - 12|,1,0.00815707180245917
Anaheim,|11 - 13|,2,0.0140308509612319
Anaheim,|11 - 14|,3,0.0126891597788516
Anaheim,|11 - 15|,4,0.0107355279491247
Anaheim,|11 - 16|,5,0.00629669332087659
Anaheim,|11 - 17|,6,0.0161415426952183
Anaheim,|11 - 18|,7,0.0179751634270909
Anaheim,|11 - 19|,8,0.0123074345436896
Anaheim,|11 - 20|,9,0.0130730282662126
Anaheim,|11 - 21|,10,0.0146709855187936
Anaheim,|11 - 22|,11,0.0227451427974235
Anaheim,|11 - 23|,12,0.0272442072456269
Anaheim,|12 - 13|,1,0.00703616008548544
Anaheim,|12 - 14|,2,0.00692108840033909
Anaheim,|12 - 15|,3,0.00456650284437103
Anaheim,|12 - 16|,4,0.00550324073336484
Anaheim,|12 - 17|,5,0.00930230235156092
Anaheim,|12 - 18|,6,0.011917068206036
Anaheim,|12 - 19|,7,0.0117974071517796
Anaheim,|12 - 20|,8,0.016164008179688
Anaheim,|12 - 21|,9,0.0195563321179165
Anaheim,|12 - 22|,10,0.0293158775643549
Anaheim,|12 - 23|,11,0.0338304014045123
Anaheim,|13 - 14|,1,0.00517104422250411
Anaheim,|13 - 15|,2,0.00498946099200615
Anaheim,|13 - 16|,3,0.0102344747853791
Anaheim,|13 - 17|,4,0.00583751974692697
Anaheim,|13 - 18|,5,0.00843937292527085
Anaheim,|13 - 19|,6,0.0154515709091134
Anaheim,|13 - 20|,7,0.0215049698491893
Anaheim,|13 - 21|,8,0.0256440632231551
Anaheim,|13 - 22|,9,0.0357262490453799
Anaheim,|13 - 23|,10,0.040281571484222
Anaheim,|14 - 15|,1,0.00521915146434003
Anaheim,|14 - 16|,2,0.00816381651055765
Anaheim,|14 - 17|,3,0.0061286173989309
Anaheim,|14 - 18|,4,0.00722822332656774
Anaheim,|14 - 19|,5,0.0127985232882157
Anaheim,|14 - 20|,6,0.0192311337904484
Anaheim,|14 - 21|,7,0.0236016506865376
Anaheim,|14 - 22|,8,0.033880639243897
Anaheim,|14 - 23|,9,0.0385198728033648
Anaheim,|15 - 16|,1,0.0071790151017899
Anaheim,|15 - 17|,2,0.00773565181973759
Anaheim,|15 - 18|,3,0.0103922341019141
Anaheim,|15 - 19|,4,0.0135703271981396
Anaheim,|15 - 20|,5,0.0188092109271208
Anaheim,|15 - 21|,6,0.0224712559827879
Anaheim,|15 - 22|,7,0.0322976267808741
Anaheim,|15 - 23|,8,0.0367837947657482
Anaheim,|16 - 17|,1,0.0120955945265078
Anaheim,|16 - 18|,2,0.0135705033856071
Anaheim,|16 - 19|,3,0.0111213773502667
Anaheim,|16 - 20|,4,0.0147464285432533
Anaheim,|16 - 21|,5,0.0176922038483008
Anaheim,|16 - 22|,6,0.0269015516540362
Anaheim,|16 - 23|,7,0.0313162322338175
Anaheim,|17 - 18|,1,0.00473389351300093
Anaheim,|17 - 19|,2,0.0133994053204974
Anaheim,|17 - 20|,3,0.0204718422192154
Anaheim,|17 - 21|,4,0.0253826598790083
Anaheim,|17 - 22|,5,0.0365096098397002
Anaheim,|17 - 23|,6,0.04126398345337
Anaheim,|18 - 19|,1,0.0136795282407742
Anaheim,|18 - 20|,2,0.0213687947638494
Anaheim,|18 - 21|,3,0.0264761954210123
Anaheim,|18 - 22|,4,0.0377456885528084
Anaheim,|18 - 23|,5,0.0426229819009185
Anaheim,|19 - 20|,1,0.00861621727036817
Anaheim,|19 - 21|,2,0.0140808037015697
Anaheim,|19 - 22|,3,0.0257575309822506
Anaheim,|19 - 23|,4,0.030735992943455
Anaheim,|2 - 10|,8,0.0385933241689003
Anaheim,|2 - 11|,9,0.03296840056339
Anaheim,|2 - 12|,10,0.0395684440722538
Anaheim,|2 - 13|,11,0.0459764079294229
Anaheim,|2 - 14|,12,0.0439339160661697
Anaheim,|2 - 15|,11,0.0423221083847083
Anaheim,|2 - 16|,10,0.0370103435675676
Anaheim,|2 - 17|,9,0.046802313865584
Anaheim,|2 - 18|,8,0.0480216070269148
Anaheim,|2 - 19|,7,0.0360356146220872
Anaheim,|2 - 20|,6,0.0285347269766363
Anaheim,|2 - 21|,5,0.0231081371350431
Anaheim,|2 - 22|,4,0.0130559975219294
Anaheim,|2 - 23|,3,0.0102275369214587
Anaheim,|2 - 3|,1,0.014733143875522
Anaheim,|2 - 4|,2,0.0327894967905869
Anaheim,|2 - 5|,3,0.0184163534118575
Anaheim,|2 - 6|,4,0.0177856748818013
Anaheim,|2 - 7|,5,0.0312323939748195
Anaheim,|2 - 8|,6,0.0264884667634924
Anaheim,|2 - 9|,7,0.0311644467029616
Anaheim,|20 - 21|,1,0.00691009650035142
Anaheim,|20 - 22|,2,0.0185272607896336
Anaheim,|20 - 23|,3,0.023244707196489
Anaheim,|21 - 22|,1,0.0125916054860065
Anaheim,|21 - 23|,2,0.0175345933546639
Anaheim,|22 - 23|,1,0.00663844563640279
Anaheim,|3 - 10|,7,0.0346577146613096
Anaheim,|3 - 11|,8,0.0286099859786201
Anaheim,|3 - 12|,9,0.0354414403586433
Anaheim,|3 - 13|,10,0.0414490950681185
Anaheim,|3 - 14|,11,0.0388364572183703
Anaheim,|3 - 15|,12,0.0381836225632337
Anaheim,|3 - 16|,11,0.0322057148087978
Anaheim,|3 - 17|,10,0.04220372292525
Anaheim,|3 - 18|,9,0.0428034881121567
Anaheim,|3 - 19|,8,0.0316630244603815
Anaheim,|3 - 20|,7,0.0252546876902131
Anaheim,|3 - 21|,6,0.0208823401621623
Anaheim,|3 - 22|,5,0.0137661635177953
Anaheim,|3 - 23|,4,0.0135003988494412
Anaheim,|3 - 4|,1,0.0385334223602981
Anaheim,|3 - 5|,2,0.0215543642259726
Anaheim,|3 - 6|,3,0.0167595417064251
Anaheim,|3 - 7|,4,0.0277426157623499
Anaheim,|3 - 8|,5,0.0225504878022087
Anaheim,|3 - 9|,6,0.0267486008011011
Anaheim,|4 - 10|,6,0.0670202150306746
Anaheim,|4 - 11|,7,0.060846265646294
Anaheim,|4 - 12|,8,0.0679828185265319
Anaheim,|4 - 13|,9,0.0743565740971394
Anaheim,|4 - 14|,10,0.0725566512462048
Anaheim,|4 - 15|,11,0.0706826168421391
Anaheim,|4 - 16|,12,0.0652391260669261
Anaheim,|4 - 17|,11,0.0761236410232956
Anaheim,|4 - 18|,10,0.0774483750041489
Anaheim,|4 - 19|,9,0.0661433530193467
Anaheim,|4 - 20|,8,0.0589840350744439
Anaheim,|4 - 21|,7,0.053430213257017
Anaheim,|4 - 22|,6,0.0417337874014943
Anaheim,|4 - 23|,5,0.0372516586818775
Anaheim,|4 - 5|,1,0.0237552587370711
Anaheim,|4 - 6|,2,0.0440995348865383
Anaheim,|4 - 7|,3,0.058337384721572
Anaheim,|4 - 8|,4,0.053741449742855
Anaheim,|4 - 9|,5,0.0589776992227448
Anaheim,|5 - 10|,5,0.0499147525830045
Anaheim,|5 - 11|,6,0.0439371809092986
Anaheim,|5 - 12|,7,0.0509641110230336
Anaheim,|5 - 13|,8,0.0571884999308628
Anaheim,|5 - 14|,9,0.0550123002681307
Anaheim,|5 - 15|,10,0.0536117400698379
Anaheim,|5 - 16|,11,0.0481614098201034
Anaheim,|5 - 17|,12,0.0584450218758265
Anaheim,|5 - 18|,11,0.0594870525269562
Anaheim,|5 - 19|,10,0.0480428522182513
Anaheim,|5 - 20|,9,0.0410389572733841
Anaheim,|5 - 21|,8,0.0362366722546315
Anaheim,|5 - 22|,7,0.0255222990705122
Anaheim,|5 - 23|,6,0.0217935365086017
Anaheim,|5 - 6|,1,0.027362722856526
Anaheim,|5 - 7|,2,0.0409774574651483
Anaheim,|5 - 8|,3,0.0366098230032228
Anaheim,|5 - 9|,4,0.0420123674826571
Anaheim,|6 - 10|,4,0.0254540907773498
Anaheim,|6 - 11|,5,0.0196629173050199
Anaheim,|6 - 12|,6,0.0264418003567715
Anaheim,|6 - 13|,7,0.0325617865036664
Anaheim,|6 - 14|,8,0.0307686496278671
Anaheim,|6 - 15|,9,0.0289862184680463
Anaheim,|6 - 16|,10,0.0241410201760871
Anaheim,|6 - 17|,11,0.0342370433793264
Anaheim,|6 - 18|,12,0.0358341452363378
Anaheim,|6 - 19|,11,0.0259046640561003
Anaheim,|6 - 20|,10,0.0202611890527679
Anaheim,|6 - 21|,9,0.0166649719190796
Anaheim,|6 - 22|,8,0.0131122499669072
Anaheim,|6 - 23|,7,0.0146232422179732
Anaheim,|6 - 7|,1,0.0177156027206568
Anaheim,|6 - 8|,2,0.0135473439760271
Anaheim,|6 - 9|,3,0.0182022806493638
Anaheim,|7 - 10|,3,0.0122212016594119
Anaheim,|7 - 11|,4,0.00941724839817289
Anaheim,|7 - 12|,5,0.0134803499550045
Anaheim,|7 - 13|,6,0.0186922560262096
Anaheim,|7 - 14|,7,0.0173888962468986
Anaheim,|7 - 15|,8,0.0156819689128025
Anaheim,|7 - 16|,9,0.012441256659443
Anaheim,|7 - 17|,10,0.0206472298256892
Anaheim,|7 - 18|,11,0.0227627437387378
Anaheim,|7 - 19|,12,0.0167984590111284
Anaheim,|7 - 20|,11,0.0152200149983524
Anaheim,|7 - 21|,10,0.0167479311982439
Anaheim,|7 - 22|,9,0.0228916637337027
Anaheim,|7 - 23|,8,0.0264284733333153
Anaheim,|7 - 8|,1,0.00764052277084524
Anaheim,|7 - 9|,2,0.00769468353230163
Anaheim,|8 - 10|,2,0.0145420783299716
Anaheim,|8 - 11|,3,0.00954418626648391
Anaheim,|8 - 12|,4,0.0158267611158814
Anaheim,|8 - 13|,5,0.0216517083560438
Anaheim,|8 - 14|,6,0.0199792295729983
Anaheim,|8 - 15|,7,0.0184236739784087
Anaheim,|8 - 16|,8,0.0135855377315161
Anaheim,|8 - 17|,9,0.0236706478813107
Anaheim,|8 - 18|,10,0.0253449048630562
Anaheim,|8 - 19|,11,0.0173701318588616
Anaheim,|8 - 20|,12,0.0141348040303624
Anaheim,|8 - 21|,11,0.0136909402618448
Anaheim,|8 - 22|,10,0.0178552445967297
Anaheim,|8 - 23|,9,0.0216305965112286
Anaheim,|8 - 9|,1,0.00711758045052261
Anaheim,|9 - 10|,1,0.0095450985649183
Anaheim,|9 - 11|,2,0.00616573957054923
Anaheim,|9 - 12|,3,0.0110278987935047
Anaheim,|9 - 13|,4,0.0166038985752674
Anaheim,|9 - 14|,5,0.0147774138969503
Anaheim,|9 - 15|,6,0.0136163074539436
Anaheim,|9 - 16|,7,0.00902978651162783
Anaheim,|9 - 17|,8,0.018358355136888
